Id	LevelID	CityID	LevelState	PlotContentID	UnlockingLevelID	MusicList	MusicSorce	LevelBGimg
int	Int32	Int32	Int32	Int32	Int32[]	Int32	Int32	
1	1	1	0	1	1,2	70022	70022000	
2	2	2	1	2	1,2	70015	70015000	
3	3	3	1	3	1,2	70014	70014000	
4	4	4	1	4	1,2	70026	70026000	
5	5	5	1	5	1,2	70003	70003001	
6	6	6	1	6	1,2	70032	70032001	
7	7	7	1	7	1,2	70027	70027001	
8	8	8	1	8	1,2	70010	70010001	
9	9	9	1	9	1,2	70019	70019001	
10	10	10	1	10	1,2	70024	70024002	
11	11	11	0	12	1,2	70012	70012000	
12	12	12	1	13	1,2	70016	70016000	
13	13	13	1	14	1,2	70004	70004000	
14	14	14	1	15	1,2	70021	70021000	
15	15	15	1	1	16	70009	70009001	
16	16	16	1	2	1,2	70002	70002001	
17	17	17	1	3	18	70006	70006001	
18	18	18	1	11	19	70020	70020001	
19	19	19	1	4	20	70005	70005001	
20	20	20	1	5	0	70018	70018002	
21	21	21	0	6	22	70030	70030000	
22	22	22	1	7	23	70007	70007000	
23	23	23	1	8	24	70045	70045000	
24	24	24	1	9	25	70043	70043000	
25	25	25	1	10	26	70036	70036001	
26	26	26	1	11	27	70035	70035001	
27	27	27	1	12	28	70031	70031001	
28	28	28	1	13	29	70013	70013001	
29	29	29	1	14	30	70038	70038001	
30	30	30	1	15	0	70044	70044002	
